Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Yusah,LAS,29.87,6,60,4.98,10.0,3,Medio
RodriDraco,LAS,31.57,8,60,3.95,7.5,6,Alto
Girl is a gun,LAS,28.28,9,60,3.14,6.67,6,Medio
Elfaria,1355,27.15,4,60,6.79,15.0,4,Alto
Wifelershow,7458,28.66,7,60,4.09,8.57,7,Alto
TwilightShade,LAS,28.43,8,60,3.55,7.5,8,Alto
detructor444,LAS,31.3,12,60,2.61,5.0,10,Medio
puro ks,002,28.7,8,60,3.59,7.5,7,Alto
Swain KFC,COMBO,29.19,9,60,3.24,6.67,6,Medio
差异顶部,ASR,30.17,5,60,6.03,12.0,5,Alto
Ecch,LAS,28.09,7,60,4.01,8.57,7,Alto
Anonymous Inks,LAN,28.9,4,60,7.22,15.0,4,Alto
D4rK Asassin,LAS,30.1,7,60,4.3,8.57,7,Alto
Luis Yeager,LAS,28.56,8,60,3.57,7.5,8,Alto
Wagyu,LAS,29.12,8,60,3.64,7.5,8,Alto
BRG Velois,CEL,27.67,7,60,3.95,8.57,7,Alto
kclak,LAS,30.03,8,60,3.75,7.5,6,Alto
Sir Friijooliito,sera,26.99,7,60,3.86,8.57,7,Alto
ivvo18,LAS,29.49,9,60,3.28,6.67,9,Medio
T1 DradKhan,SKT,29.33,5,60,5.87,12.0,5,Alto
ƒiuroxy,loveu,27.29,6,60,4.55,10.0,6,Alto
MeDeprimoFacil,uwu,27.76,7,60,3.97,8.57,7,Alto
hip0frenia,LAS,28.41,5,60,5.68,12.0,5,Alto
未来の音,1999,29.66,12,60,2.47,5.0,12,Medio
Black Ivy,505,29.1,7,60,4.16,8.57,7,Alto
Yuta Okkotsu,5805,28.91,5,60,5.78,12.0,5,Alto
EntrandoEnEsa,LAS,28.26,10,60,2.83,6.0,8,Medio
eL Dany DT,LAS,30.32,7,60,4.33,8.57,7,Alto
Lucky 38,Luck7,27.86,5,60,5.57,12.0,5,Alto
Black Insomnia,0589,30.14,5,60,6.03,12.0,5,Alto
juansethekof,LOS,29.71,6,60,4.95,10.0,6,Alto
Белая смерть,АРГ,29.65,11,60,2.7,5.45,7,Medio
C13 Damz,LAS,27.93,5,60,5.59,12.0,5,Alto
c a r ö l i n a,ARS,30.92,6,60,5.15,10.0,6,Alto
Eifeldor,LAS,29.18,5,60,5.84,12.0,5,Alto
Andreik99,999,29.6,6,60,4.93,10.0,6,Alto
jodipe,Ahri,28.78,11,60,2.62,5.45,4,Bajo
SQUANCHØ,LAS,31.22,15,60,2.08,4.0,10,Bajo
AlterMitico,Novus,28.36,16,60,1.77,3.75,6,Bajo
DAO FUTURE,LAS,27.45,9,60,3.05,6.67,4,Medio
yiyawosao,LAS,28.34,8,60,3.54,7.5,5,Medio
CSSML NDSML,kahoz,28.72,11,60,2.61,5.45,11,Medio
Zaikologic,Zaik,30.51,9,60,3.39,6.67,9,Medio
qdanm,hiim,28.55,6,60,4.76,10.0,6,Alto
OMG Ken,LAS,28.77,6,60,4.79,10.0,6,Alto
aKaiRe,LAS,28.91,6,60,4.82,10.0,6,Alto
Emahtz,LAS,28.02,8,60,3.5,7.5,6,Alto
puckeffideb,LAS,30.86,13,60,2.37,4.62,9,Medio
Come Around Me,diazk,28.23,11,60,2.57,5.45,7,Medio
NeuraNura,Brem,28.56,17,60,1.68,3.53,8,Bajo
xWarRx,LAS,28.89,8,60,3.61,7.5,8,Alto
Jaskisceviciuss,LAS,30.14,12,60,2.51,5.0,12,Medio
Parkcito,00028,28.52,6,60,4.75,10.0,5,Medio
Don Titi,LAS,30.17,8,60,3.77,7.5,4,Medio
SOD Un Oso Wacho,9543,24.55,6,60,4.09,10.0,6,Alto
Ziggsmund Freud,PANDI,28.35,6,60,4.73,10.0,6,Alto
Rook Gendarmerie,LAS,29.34,6,60,4.89,10.0,6,Alto
Tea Lover,gkrmp,28.91,8,60,3.61,7.5,5,Medio
chérie lueur,maia,27.16,7,60,3.88,8.57,7,Alto
IIIIIIIIIIIII,8413,27.43,5,60,5.49,12.0,5,Alto
AlanBritoDl,LAS,29.47,6,60,4.91,10.0,6,Alto
